year,global_total_co2,global_percapital_co2_weighted
1973,116812.205,4.393673442345472
1974,116573.118,4.297799689181069
1975,116773.77,4.221371700161909
1976,123012.282,4.372133148254586
1977,126189.676,4.408058332529142
1978,130686.44099999999,4.491713731834051
1979,134118.2,4.528775177801981
1980,133612.642,4.427282779333832
1981,129969.995,4.22865601658057
1982,129115.298,4.122152620001875
1983,130243.124,4.0851954284095
1984,133811.117,4.12965826342782
1985,138667.957,4.1973233320278505
1986,140411.493,4.176512194019413
1987,144024.824,4.21415216804752
1988,149185.16,4.290494996622959
1989,150885.046,4.267550306789523
1990,154667.282,4.295271902822091
1991,157552.399,4.307202414670566
1992,151802.015,4.110747102531205
1993,152716.718,4.085699260829186
1994,153401.334,4.059690397908368
1995,156543.336,4.09255853016946
1996,160900.75,4.152763691631122
1997,161350.743,4.113149403873137
1998,160537.627,4.0383058244739285
1999,163749.286,4.06682328125095
2000,168033.979,4.119964524275359
2001,169508.084,4.0973665012901135
2002,172920.805,4.130938528455472
2003,181677.579,4.2904370991491785
2004,187385.685,4.372833983378512
2005,193348.712,4.4616535681467635
2006,199475.636,4.547479351861644
2007,204729.692,4.614065733430111
2008,207953.43899999998,4.631343568362917
2009,203857.531,4.4907226699456375
2010,215282.69,4.684734322047433
2011,222245.218,4.780984268005518
2012,225327.174,4.785389815956962
2013,226877.061,4.765852600056517
2014,227609.269,4.7286972821710265
2015,227241.886,4.662886190692297
2016,227186.128,4.605962987557267
2017,230859.281,4.626655999978285
2018,235325.126,4.6682460112087245
2019,237264.344,4.659688504382071
2020,226123.155,4.402938665590151
2021,236932.336,4.579856674014249
2022,240370.227,4.613068093670256
2023,242955.627,4.623978513141586
2024,245672.264,4.634102404496578
