year,latitude,longitude,type,acq_date,frp,brightness
2021,-10.62894,37.68414,0,2021-10-05,5.18,344.26
2021,-13.68668,132.61148,0,2021-05-15,9.81,348.01
2021,4.95073,25.39042,0,2021-01-12,12.55,367
2021,7.81509,23.30635,0,2021-02-25,5.32,343.39
2021,7.26434,33.45299,0,2021-02-24,3.64,321.33
2021,55.89460,70.52394,0,2021-04-21,8.66,343.04
2021,21.94953,102.18194,0,2021-04-15,1.97,330.52
2021,41.06355,-122.89700,0,2021-08-30,0.94,300.82
2021,65.23335,121.04279,0,2021-08-01,1.67,306.18
2021,-9.72556,20.26569,0,2021-07-09,4.21,346.15
2021,21.40173,99.00476,0,2021-04-21,3.57,335.75
2021,-12.18233,16.16773,0,2021-10-10,2.92,335.39
2021,-7.63288,13.06347,0,2021-09-23,6.4,337.48
2021,-16.30879,133.85222,0,2021-10-23,1.05,301.44
2021,-10.18639,26.91489,0,2021-05-31,2.12,332.51
2021,18.16877,-100.00291,0,2021-04-20,5.61,333.97
2021,-8.13275,15.91588,0,2021-07-26,6.48,332.62
2021,9.90075,-73.07072,0,2021-03-03,13.09,332.17
2021,-6.68020,15.44717,0,2021-07-19,8.33,339.6
2021,12.29090,23.58087,0,2021-11-21,11.64,367
2021,22.93815,111.14458,0,2021-02-15,3.62,344.1
2021,11.16939,35.51516,0,2021-12-12,45.62,310.28
2021,-4.85918,30.53997,0,2021-09-05,1.91,330.05
2021,-4.70479,13.82174,0,2021-09-20,7.6,343.47
2021,6.84045,6.87778,0,2021-02-04,6.84,337.65
2021,11.50838,2.96145,0,2021-12-16,11.18,355.72
2021,6.19586,9.61220,0,2021-03-09,9.97,367
2021,52.14011,-100.49913,0,2021-07-15,8.64,329.3
2021,41.42277,21.93388,2,2021-05-27,3.47,329.52
2021,-14.00371,133.69807,0,2021-10-30,17.54,355.53
2021,-8.58001,25.90846,0,2021-09-18,8.42,335.8
2021,19.02768,-71.35052,0,2021-03-06,13.36,330.33
2021,8.24423,30.25840,0,2021-01-20,9.46,333.7
2021,-7.41074,18.39933,0,2021-07-09,10.74,346.73
2021,-9.41221,26.67729,0,2021-06-19,3.15,331.12
2021,-16.78858,122.68226,0,2021-08-02,17.41,349.91
2021,19.88564,103.42606,0,2021-03-31,83.04,332.92
2021,-15.07306,128.98662,0,2021-12-12,2.68,338.52
2021,-8.67655,-49.06742,0,2021-07-20,6.38,338.53
2021,62.57953,118.30209,0,2021-08-02,0.9,300.95
2021,6.95509,23.63293,0,2021-02-09,3.23,341.62
2021,59.72594,103.68756,0,2021-10-22,23.57,337.97
2021,6.08047,33.69013,0,2021-02-09,4.84,333.01
2021,-12.36797,134.38538,0,2021-07-28,12.84,343.58
2021,-8.60643,-45.10944,0,2021-07-05,2.99,336.65
2021,29.64073,79.94364,0,2021-03-20,1.23,303.6
2021,-14.18448,24.71926,0,2021-08-29,2.82,334.06
2021,-6.42906,20.52068,0,2021-07-09,3.31,340.89
2021,11.14357,17.48417,0,2021-12-27,9.65,350.32
2021,62.63213,125.25224,0,2021-08-09,1,298.84
2021,50.92924,61.11489,0,2021-06-22,11.44,355.61
2021,20.81004,77.14423,0,2021-10-25,1.71,336.5
2021,-13.57045,-48.59524,0,2021-09-21,1.98,310.92
2021,-4.25878,13.15859,0,2021-09-07,11.24,341.16
2021,29.59748,79.08059,0,2021-04-09,4.76,345.65
2021,13.33701,-11.32559,0,2021-12-05,3.32,320.14
2021,18.10538,98.07635,0,2021-04-25,1.79,332.27
2021,-18.61973,45.03284,0,2021-08-05,14.21,338.95
2021,6.79801,-67.23826,0,2021-11-30,5.91,333.32
2021,-13.56891,25.91592,0,2021-08-08,6.31,341.21
2021,9.73767,-63.47595,2,2021-08-21,8.51,332.55
2021,-14.46522,-47.34121,0,2021-09-17,3.42,330.37
2021,-19.55091,23.09685,0,2021-08-14,1.17,302.48
2021,53.22778,-102.87605,0,2021-10-04,5.16,316.06
