year,latitude,longitude,type,acq_date,frp,brightness
2019,-10.27349,19.85503,0,2019-06-17,135.63,367
2019,4.05683,17.21492,0,2019-01-04,9.79,339.52
2019,-10.02783,23.28769,0,2019-07-03,2.99,342.56
2019,-7.24852,33.70470,0,2019-08-17,16.84,345.53
2019,16.84347,98.62401,0,2019-03-30,4.43,331.58
2019,-8.87342,14.14785,0,2019-08-22,59.58,367
2019,-30.84221,124.16210,0,2019-11-19,4.66,324.99
2019,6.35849,124.60110,0,2019-03-06,6.09,331.16
2019,1.27158,-60.90440,0,2019-04-05,3.21,327.94
2019,41.67636,-121.90752,0,2019-09-26,1.57,298.57
2019,-26.20786,28.69047,0,2019-07-04,4.56,347.54
2019,-13.11947,27.90663,0,2019-09-29,3.97,337.18
2019,62.34164,107.52249,0,2019-08-10,1.09,309.89
2019,31.04137,49.39501,2,2019-01-22,2.87,296.42
2019,6.85686,6.91955,0,2019-02-10,2.18,334
2019,-21.34641,34.65574,0,2019-10-23,6.6,339.02
2019,-26.46891,27.66372,0,2019-08-09,5.51,349.6
2019,7.90946,30.33365,0,2019-01-15,20.29,343.07
2019,-8.54535,-55.00344,0,2019-10-28,1.3,303.29
2019,-34.70480,147.79375,0,2019-04-01,0.76,300.32
2019,61.78166,99.98721,0,2019-08-05,2.21,323.69
2019,-19.23673,34.82954,0,2019-10-25,5.02,339.28
2019,47.09278,37.60094,2,2019-08-26,4.42,336.8
2019,61.61361,102.14140,0,2019-07-23,1.79,315.08
2019,-9.29787,26.63397,0,2019-06-12,4.68,333.98
2019,-15.23606,40.64129,0,2019-08-06,5.55,330.74
2019,13.57083,39.47333,2,2019-06-26,0.64,301.25
2019,-5.11336,26.92073,0,2019-06-16,4.05,330.65
2019,-2.31953,114.10772,0,2019-08-12,1.15,320.26
2019,7.45915,-12.05969,0,2019-01-27,15.68,351.69
2019,-10.00653,-74.83660,0,2019-09-29,15.16,340.68
2019,-13.34369,135.74310,0,2019-12-07,6.1,351.89
2019,-14.24810,23.06623,0,2019-08-19,3.35,340.4
2019,8.98024,28.06782,0,2019-04-21,5.28,352.64
2019,59.08646,97.97164,0,2019-07-02,2.56,305.36
