year,latitude,longitude,type,acq_date,frp,brightness
2016,-4.49805,24.36521,0,2016-06-07,50.96,355.26
2016,-6.91832,18.74266,0,2016-07-04,4.82,336.81
2016,45.54222,128.22426,0,2016-03-27,2.77,341.36
2016,-3.74586,17.47329,0,2016-07-20,3.9,341.77
2016,31.84375,-116.58701,2,2016-04-24,0.72,297.04
2016,-7.82112,25.61067,0,2016-08-07,19.54,306.16
2016,10.22695,-10.61872,0,2016-02-11,2.25,331.07
2016,-14.26337,126.62901,0,2016-07-14,0.71,307.64
2016,-12.72391,14.89402,0,2016-09-08,3.71,334.32
2016,8.73990,28.34965,0,2016-01-23,4.74,333.89
2016,62.53080,73.89626,0,2016-09-05,2.42,322.63
2016,-14.47484,32.30140,0,2016-09-10,8.38,345.09
2016,30.25902,8.08165,0,2016-11-01,1.93,313.04
2016,-9.91282,27.75181,0,2016-08-05,3.88,331.53
2016,10.87193,28.16665,0,2016-10-31,2.6,333.66
2016,-13.15026,29.68844,0,2016-10-20,3.38,336.93
2016,5.51922,105.67204,3,2016-01-04,3.59,320.21
2016,16.38427,100.27164,0,2016-01-09,2.21,326.16
2016,9.62388,-11.81907,0,2016-02-01,2.68,337.47
2016,-14.83852,34.02831,0,2016-08-19,6.34,349.01
2016,10.50153,-13.28338,0,2016-05-01,3.96,335.56
2016,10.27447,-85.00789,0,2016-03-14,9.48,335.49
2016,7.04152,-62.80073,0,2016-03-08,5.04,339.99
2016,-15.13936,-52.29596,0,2016-11-27,3.07,299.39
2016,-21.76901,35.15999,0,2016-10-06,4.43,337.62
2016,-21.11503,46.32924,0,2016-04-30,3.7,332.3
2016,13.73826,13.56938,0,2016-04-25,10.57,367
2016,39.50522,110.51935,2,2016-05-19,0.95,295.92
2016,61.18132,104.33644,0,2016-07-14,41.02,345.04
2016,9.52031,-9.79668,0,2016-03-15,45.26,349.13
2016,13.39198,-13.72270,0,2016-05-24,3.57,336.05
2016,-24.96909,150.97360,0,2016-10-06,1.18,295.65
2016,-21.34096,44.27417,0,2016-04-28,18.01,367
2016,-28.97248,-52.66307,0,2016-09-27,6.45,342.42
2016,32.02925,-81.83549,0,2016-02-29,6.76,347.06
2016,9.60901,-7.81714,0,2016-01-26,2.36,334.03
2016,-6.07816,20.47530,0,2016-09-22,5.84,333.82
2016,36.68302,4.72809,0,2016-07-22,40.98,367
2016,15.91551,76.82165,0,2016-05-11,5.49,343.84
2016,11.22174,107.90063,0,2016-04-10,1.95,332.58
2016,5.40860,33.39915,0,2016-02-11,1.97,318.55
2016,-15.30375,18.00826,0,2016-09-07,15.24,367
2016,59.59331,103.44178,0,2016-09-28,5.33,339.97
2016,19.51521,-90.50200,0,2016-04-26,34.18,339.97
2016,48.70177,46.08160,0,2016-08-31,22.21,327.75
2016,18.15518,-77.15788,0,2016-05-07,1.83,331.66
2016,-7.97572,-48.04737,0,2016-06-16,5,336.94
2016,-6.33535,34.90215,0,2016-10-03,10.35,343.7
2016,-24.31455,29.37833,2,2016-05-12,2.6,327.79
2016,49.42224,135.23883,0,2016-10-29,19.04,356.92
2016,-13.46455,-63.05250,0,2016-08-22,30.93,352.25
2016,-12.94733,28.43891,0,2016-07-22,6.79,342.99
2016,-10.49838,23.08888,0,2016-08-05,46.84,350.12
2016,20.12151,-88.99136,0,2016-04-02,136.51,367
2016,21.02403,94.08006,0,2016-04-09,8.28,367
2016,-14.24378,24.25591,0,2016-10-17,10.7,354.69
2016,-16.82472,22.42188,0,2016-07-24,83.49,352.6
2016,-6.53347,14.08531,0,2016-08-01,3.12,354.64
2016,3.15385,29.48399,0,2016-01-08,11.16,344.23
2016,63.76603,99.55815,0,2016-07-21,1.23,296.92
2016,19.71989,79.92729,0,2016-03-12,1.26,334.05
2016,5.53133,34.43653,0,2016-03-17,6.99,337.17
2016,30.53726,26.08385,2,2016-05-18,10.03,354.64
2016,6.91773,16.80445,0,2016-01-26,3.19,337.12
2016,52.29213,38.57364,0,2016-03-12,3.53,329.79
2016,4.72349,18.57326,0,2016-01-25,7.32,342.54
2016,-5.11509,17.97485,0,2016-06-17,7.12,354.98
2016,-30.15856,116.91589,0,2016-03-06,1.25,306.09
