year,latitude,longitude,type,acq_date,frp,brightness
2024,-15.86244,-62.22237,0,2024-09-02,1.84,301.33
2024,18.39935,-88.54437,0,2024-05-20,4.23,347.93
2024,3.85105,20.81372,0,2024-01-11,2.2,333.77
2024,-13.17995,-63.12919,0,2024-08-12,16.48,367
2024,8.11042,8.97120,0,2024-01-09,5.14,345.83
2024,-15.16205,126.73264,0,2024-05-23,5.51,332.04
2024,10.12641,-12.04279,0,2024-04-25,34.76,353.52
2024,6.08529,20.12253,0,2024-11-26,2.63,330.76
2024,-10.33953,-46.76151,0,2024-07-22,0.91,303.42
2024,-13.84303,-65.38381,0,2024-09-25,12.07,346.34
2024,5.99855,20.00854,0,2024-03-04,6.71,333.19
2024,8.57176,32.86930,0,2024-04-23,0.62,304.88
2024,-17.71388,-59.28867,0,2024-09-09,1.92,307.66
2024,-16.20308,46.27512,0,2024-07-06,2.64,336.76
2024,-9.82741,28.82733,0,2024-07-22,6.16,340.69
2024,62.40718,119.35734,0,2024-08-09,15.66,335.52
2024,-16.31446,131.05884,0,2024-10-10,5.2,352.93
2024,-14.85176,-61.13845,0,2024-08-30,13.55,352.88
2024,-9.43395,15.46393,0,2024-06-21,4.41,338.21
2024,-11.44014,-66.14174,0,2024-09-30,0.95,297.16
2024,-15.47590,17.36748,0,2024-07-18,3.08,332.92
2024,13.50567,35.06446,0,2024-02-22,11.48,347.72
2024,-15.30478,-61.77618,0,2024-10-06,2.3,311.07
2024,-15.11412,21.99272,0,2024-08-09,26.55,367
2024,-13.27939,130.76270,0,2024-06-13,1.98,331.84
2024,-9.47461,-54.93964,0,2024-09-01,1.53,307.36
2024,30.94077,104.11791,0,2024-08-21,2.96,334.15
2024,69.03751,143.85551,0,2024-08-20,32.65,349.31
2024,-17.73430,35.88460,0,2024-08-11,10.37,351.31
2024,-15.98184,-61.82572,0,2024-09-08,1.29,303.39
2024,52.31541,119.00467,0,2024-08-19,2.99,333.2
2024,-11.22203,30.87639,0,2024-09-12,3.85,331.01
2024,-9.89028,27.44955,0,2024-05-02,4.87,339.39
2024,38.98975,-87.71757,2,2024-10-12,0.62,296.54
2024,-12.84650,17.96153,0,2024-09-06,4.68,344.47
2024,13.29746,29.66625,0,2024-05-05,1.32,308.05
2024,56.71577,-118.91477,0,2024-07-18,9.32,342.8
2024,8.28934,15.70772,0,2024-01-04,8.09,343.61
2024,68.48108,146.84293,0,2024-08-25,2.44,303.04
2024,7.72564,24.98855,0,2024-12-28,3.48,330.15
2024,8.03216,21.58486,0,2024-01-01,16.99,367
2024,-4.78687,18.91797,0,2024-07-30,15.83,331.04
2024,10.17099,-64.63752,0,2024-04-08,2.08,341.09
2024,29.70042,6.71131,2,2024-06-05,3.36,344.25
2024,-18.81590,-57.74952,0,2024-06-12,2.56,309.74
2024,12.07794,6.00745,0,2024-01-23,5.04,344.81
2024,-4.65496,17.54173,0,2024-08-27,29.21,335.38
2024,9.23717,-8.62933,0,2024-01-05,3.85,333.95
2024,-5.73267,22.79833,0,2024-08-06,17.39,331.35
2024,60.69343,-119.29295,0,2024-08-11,8.27,349.39
2024,-17.67533,-58.17097,0,2024-08-23,2.42,317.71
2024,-37.47752,143.75151,0,2024-04-28,8.06,347.37
2024,-6.12261,14.25861,0,2024-07-22,7.88,367
2024,64.10401,-122.42715,0,2024-08-09,1.9,307.39
2024,-15.19149,16.60471,0,2024-07-19,37.19,353.42
2024,57.74038,-114.78647,0,2024-07-18,4.01,335.86
2024,-3.27533,-48.81570,0,2024-08-28,5.98,343.5
2024,7.39140,-73.69945,0,2024-03-05,1.65,334.39
2024,-9.39056,-67.53448,0,2024-09-04,1.19,305
2024,63.67064,-121.94186,0,2024-08-08,0.83,304.68
2024,22.83427,75.54810,0,2024-03-29,5.12,341.29
2024,7.27670,1.72255,0,2024-02-05,5.52,336.46
2024,-8.67690,27.56061,0,2024-09-12,4.24,337.39
2024,7.81490,22.23981,0,2024-03-05,4.08,335.87
2024,-20.53236,44.41936,0,2024-05-22,2.88,335.42
2024,-11.63823,-47.77510,0,2024-09-04,9.95,346.91
2024,-14.44750,-64.23605,0,2024-07-03,4.81,350
2024,27.99527,82.55499,0,2024-04-20,6,342.88
2024,7.41042,-0.50399,0,2024-01-16,4.4,340.21
2024,13.98836,-90.62534,0,2024-02-23,3,341.69
2024,20.73766,94.15175,0,2024-03-10,12.73,355.53
2024,-10.02042,29.80159,0,2024-08-16,10.62,354.03
2024,-15.01936,-60.68828,0,2024-08-25,6.72,322.22
2024,-5.47931,-42.08167,0,2024-10-26,1.36,310.26
2024,-6.09653,21.24748,0,2024-08-06,2.45,331.05
2024,55.14454,116.87412,0,2024-07-02,3.79,314.98
2024,33.94029,-85.87482,0,2024-10-20,0.64,297.26
2024,59.66832,-121.66437,0,2024-08-11,1.25,298.27
2024,-9.46225,-56.74803,0,2024-08-21,7.28,338.42
2024,-12.61626,18.18036,0,2024-08-23,46.42,356.1
2024,62.41778,-122.06502,0,2024-08-10,13.36,331.4
2024,1.78615,23.52712,0,2024-02-16,15.51,355.42
2024,7.51471,12.75456,0,2024-01-22,2.9,334.73
2024,4.21957,27.98653,0,2024-12-20,6.54,332.43
2024,23.16749,82.33788,2,2024-05-08,1.94,314.22
2024,15.47626,0.88724,0,2024-11-01,6.38,321.86
2024,-5.09978,15.82542,0,2024-01-12,7.95,337.65
2024,4.51854,7.75683,0,2024-10-31,0.96,317.39
2024,7.57765,-1.79108,0,2024-11-17,2.72,334.67
2024,-8.79365,25.41327,0,2024-08-07,3.15,319.28
2024,-13.08111,22.56758,0,2024-08-04,4.22,350.51
2024,12.50087,-6.49659,0,2024-01-11,10.8,347.62
2024,6.97935,-63.31285,0,2024-02-19,6.01,331.85
2024,12.77682,-10.47630,0,2024-12-17,2.69,313.23
2024,-7.64770,18.95179,0,2024-08-01,15.3,356.11
2024,-6.78118,17.43501,0,2024-08-28,14.59,332
2024,13.87669,75.79504,0,2024-03-07,5.13,344.65
2024,5.55812,27.90330,0,2024-01-25,0.95,297.88
2024,7.14796,16.16798,0,2024-01-09,8.04,342.18
2024,56.54333,-108.76152,0,2024-08-16,1.39,307.12
2024,30.35000,50.28860,2,2024-11-22,1.22,314.95
2024,-10.49022,25.57916,0,2024-07-18,5.96,336.77
2024,17.49055,97.48711,0,2024-04-17,32.41,346.85
2024,9.76023,-2.62803,0,2024-01-09,3.66,335.62
2024,7.24230,27.44529,0,2024-12-28,3.7,321.93
2024,-15.49424,141.64017,0,2024-06-28,13.54,340.99
2024,-9.53510,-65.67833,0,2024-09-25,6.65,334.72
2024,-8.25418,24.49177,0,2024-07-30,11.59,333.06
2024,18.58670,80.61604,0,2024-03-26,1.07,311.16
2024,9.18472,34.21487,0,2024-04-14,10.01,344.19
2024,8.64574,33.04390,0,2024-03-09,16.8,344.26
2024,-9.79271,24.03184,0,2024-07-06,7.94,333.91
2024,7.97165,-69.55660,0,2024-04-11,6.32,367
2024,-16.15546,28.41150,0,2024-08-19,3.92,335.08
2024,25.43509,-80.93094,0,2024-02-20,4.43,331.78
2024,51.20038,129.73598,0,2024-10-10,8.63,326.07
2024,44.30455,41.18163,0,2024-02-26,3.76,331.66
2024,5.23488,31.18804,0,2024-12-04,5.49,347.36
2024,-5.39976,-41.55329,0,2024-11-29,3.4,344.17
2024,-18.88753,-57.17153,0,2024-06-26,11.76,354.7
2024,-15.51803,24.43749,0,2024-08-04,15.69,339.24
2024,-4.91287,14.48397,0,2024-08-15,94.83,341.97
2024,31.64303,75.62003,0,2024-05-07,17.31,367
2024,31.68374,73.87933,0,2024-10-23,1.59,330.56
2024,13.41424,105.00582,0,2024-02-03,5.25,330.44
2024,7.87901,-67.03181,0,2024-03-06,4.11,325.22
