year,latitude,longitude,type,acq_date,frp,brightness
2020,-8.30449,20.62323,0,2020-07-07,106.69,367
2020,-2.96887,11.77141,0,2020-07-24,11.4,339.78
2020,-3.67060,-71.74453,0,2020-08-18,2.94,332.33
2020,-6.29051,21.50693,0,2020-07-27,19.11,343.17
2020,-14.03568,27.29324,0,2020-08-14,5.33,341.8
2020,-11.93083,19.23157,0,2020-09-14,7.94,335.53
2020,-15.53323,-67.84478,0,2020-11-24,2.27,337.41
2020,22.70395,77.56953,0,2020-10-30,5.36,335.39
2020,-11.59794,15.85966,0,2020-06-17,8.39,336.27
2020,47.43451,130.99184,0,2020-04-16,2.9,331.59
2020,8.98610,-4.00338,0,2020-11-21,5.65,332.28
2020,5.68271,-3.69570,0,2020-03-26,6.84,337.08
2020,20.45995,102.39854,0,2020-03-30,16.04,355.76
2020,8.15806,-0.79433,0,2020-12-07,3.31,316.99
2020,-10.82489,-55.78706,0,2020-11-04,3.44,347.25
2020,8.73072,8.87225,0,2020-01-22,2.4,330.53
2020,-11.58051,15.90860,0,2020-06-22,12.9,342.51
2020,5.76283,29.88000,0,2020-02-19,10.66,349.76
2020,-3.51010,-55.45500,0,2020-11-17,26.52,354.24
2020,-4.44724,24.76983,0,2020-07-17,3.94,335.02
2020,4.63628,31.09149,0,2020-12-20,7.17,347.6
2020,20.56693,103.97289,0,2020-03-31,7.07,346.01
2020,-8.75761,26.77510,0,2020-07-10,5.27,331.28
2020,34.95478,118.30770,2,2020-05-27,1.33,302.96
2020,61.23869,1.14954,3,2020-04-17,1.27,308.27
2020,7.52538,-0.55696,0,2020-01-25,3.2,332.16
2020,12.24455,-8.31463,0,2020-12-17,2.71,332.84
2020,31.13564,76.56655,0,2020-11-13,16.76,337.65
2020,-6.93897,-43.84399,0,2020-10-07,13.02,350.82
2020,40.35526,-123.25343,0,2020-09-17,9.37,343.06
2020,12.43292,36.18172,0,2020-10-27,8.31,341.28
2020,-31.51992,-64.32317,0,2020-09-22,6.43,355.17
2020,12.70642,-15.01552,0,2020-03-14,35.49,367
2020,42.61883,-123.17466,0,2020-11-20,2.09,318.49
2020,19.37148,103.71516,0,2020-03-12,3.62,335.14
2020,-11.89595,20.48746,0,2020-09-19,8.1,335.88
2020,10.70751,-10.86116,0,2020-01-04,3.12,336.53
2020,8.78591,31.09385,0,2020-01-23,6.12,340.47
2020,34.54171,-79.26677,0,2020-06-24,4.97,337.23
2020,40.31726,-123.12969,0,2020-09-27,23.23,354.54
2020,23.67693,86.40114,2,2020-11-11,0.89,301.02
2020,9.34346,-0.17867,0,2020-11-27,3.09,329.93
2020,-8.80424,-66.63863,0,2020-08-08,17.28,367
2020,37.07931,41.78208,0,2020-08-16,10.83,346.64
2020,4.29452,16.78802,0,2020-03-03,5.33,334.81
2020,9.82567,28.71993,0,2020-10-27,4.26,337.17
2020,30.74224,-83.88090,0,2020-04-06,1.63,332.97
2020,59.28595,102.41560,0,2020-08-17,2.33,326.06
2020,-6.33860,-56.06968,0,2020-08-19,0.88,306.48
2020,-9.84131,33.47771,0,2020-10-02,5.74,344.24
2020,-27.10511,149.44035,0,2020-06-20,5.39,327.77
2020,5.90648,6.05517,0,2020-02-12,7.45,334
