year,latitude,longitude,type,acq_date,frp,brightness
2015,5.99960,24.92721,0,2015-01-07,1.14,330.02
2015,14.30932,-12.90135,0,2015-11-07,3.66,346.82
2015,-16.26102,19.08769,0,2015-06-20,10.03,336.89
2015,6.34351,22.38397,0,2015-01-15,2.9,343.56
2015,5.53460,27.81628,0,2015-12-27,3.23,335.6
2015,21.54466,99.26038,0,2015-03-19,7.66,332.74
2015,6.84764,27.77006,0,2015-01-10,3.22,335.46
2015,-12.22042,18.94361,0,2015-08-10,28.98,306.4
2015,-3.33343,-59.40261,0,2015-10-05,19.98,352.15
2015,-8.45614,17.67659,0,2015-06-04,4.14,328.04
2015,-8.99321,140.94281,0,2015-10-25,4.4,339.74
2015,-30.69027,-58.03832,0,2015-09-14,3.39,338
2015,-16.17412,38.09116,0,2015-09-01,5.06,331.03
2015,5.64188,105.04682,3,2015-02-26,1.86,324.88
2015,56.81836,-109.72552,0,2015-06-30,8.04,332.01
2015,52.94049,39.92877,0,2015-10-01,22.2,339.42
2015,-15.27109,15.45950,0,2015-09-17,4.92,344.51
2015,18.28435,-91.29293,0,2015-04-23,3.71,341.91
2015,-4.87853,28.25497,0,2015-08-26,2.18,327.78
2015,-5.66298,-43.53000,0,2015-10-18,1.08,309.84
2015,31.73359,77.10025,0,2015-12-31,3,327.66
2015,-10.16205,39.59521,0,2015-11-22,5.34,341.56
2015,66.27383,-149.91228,0,2015-07-12,22.8,341.51
2015,-24.31962,120.04048,0,2015-11-15,8.14,355.99
2015,6.67437,1.93655,0,2015-03-11,4.55,330.32
2015,59.17030,-105.47549,0,2015-05-24,1.54,296.16
2015,-13.41301,-54.04474,0,2015-10-13,103.6,367
2015,8.68627,-5.71063,0,2015-02-18,1.74,334.84
2015,17.93509,104.38113,0,2015-04-01,0.91,307.33
2015,-7.59373,17.11471,0,2015-05-30,2.57,330.75
2015,53.56560,-0.60135,2,2015-09-01,8.65,337.5
2015,-7.22805,14.55075,0,2015-07-28,4.38,346.83
2015,13.87004,79.20129,0,2015-02-16,4.32,342.24
2015,28.73952,-95.97449,0,2015-10-07,0.66,300.5
2015,-9.38949,32.62326,0,2015-08-17,4.25,337.38
2015,-10.90167,21.82049,0,2015-09-21,4.3,349.57
2015,6.02027,14.75109,0,2015-01-02,3.48,330.18
2015,-15.91158,18.43152,0,2015-05-14,28.3,350.36
2015,-14.28101,32.59897,0,2015-08-25,3.08,331.08
2015,26.59856,93.14641,0,2015-01-22,15.15,355.44
2015,-7.39001,28.72194,0,2015-07-06,14.06,348.83
2015,-14.14552,-42.99558,0,2015-09-30,10.33,367
2015,-9.91751,-68.50626,0,2015-09-21,5.76,349.44
2015,12.05068,106.21672,0,2015-02-14,51.04,367
2015,-16.26487,137.37946,0,2015-04-11,10.21,347.86
2015,30.52976,47.59529,2,2015-01-02,1.48,295.71
2015,-14.40330,38.76035,0,2015-09-09,21.31,347.18
2015,7.01584,36.03297,0,2015-02-01,26.16,342.76
2015,-10.57901,20.43915,0,2015-06-28,8.46,348.38
2015,31.64993,49.26804,2,2015-06-10,2.75,310.64
