year,latitude,longitude,type,acq_date,frp,brightness
2025,5.82636,24.15066,0,2025-01-31,14.65,350.06
2025,-9.44870,25.23562,0,2025-07-28,1.49,317.57
2025,9.62186,-63.77354,2,2025-07-29,28.82,343.95
2025,1.90568,23.15434,0,2025-02-11,23.07,334.09
2025,21.59114,102.11084,0,2025-03-29,30.24,367
2025,20.02192,-102.22211,0,2025-04-29,22.15,352.56
2025,1.67455,-56.02498,0,2025-10-16,2.71,330.04
2025,-8.27355,16.00554,0,2025-07-15,19.7,367
2025,-14.06022,15.35920,0,2025-09-03,2.93,339.89
2025,19.17753,94.72344,0,2025-03-13,2.62,308.21
2025,-14.94499,129.95020,0,2025-08-11,44.02,344.1
2025,-21.00981,33.87286,0,2025-08-27,4.71,344.35
2025,5.70785,4.48142,3,2025-06-17,1.44,307.71
2025,-9.30558,21.06136,0,2025-07-29,27.32,353.08
2025,6.72104,36.00477,0,2025-02-26,127.01,348.96
2025,-22.96149,43.91724,0,2025-05-08,28.8,353.8
2025,-5.06478,26.73522,0,2025-07-27,9.65,339.91
2025,-13.13309,38.56894,0,2025-08-02,2.56,337.03
2025,8.38924,18.89862,0,2025-01-01,15.31,367
2025,35.77261,43.99671,2,2025-07-23,15.2,351.24
2025,-11.39953,19.75875,0,2025-10-03,17.81,351.56
2025,29.24943,70.33387,0,2025-10-26,1.53,334.99
2025,53.84875,-104.15385,0,2025-05-30,51.93,335.35
2025,-25.31999,150.67657,0,2025-10-22,19.85,367
2025,-13.64176,16.82357,0,2025-08-22,9.59,367
2025,-14.44715,126.09987,0,2025-04-04,3.21,337.15
2025,-8.70674,26.58937,0,2025-07-09,5.72,336.4
2025,-21.97002,125.15485,0,2025-08-11,11.29,336.85
2025,-8.18384,27.03972,0,2025-05-16,8.59,340.88
2025,-6.89560,-43.13331,0,2025-10-02,1.4,319.06
2025,62.12930,-116.20489,0,2025-07-18,8.51,327.21
2025,-26.62441,146.15112,0,2025-09-17,6.58,338.69
2025,10.57213,-73.10164,0,2025-05-29,21.46,336.8
2025,11.39115,14.45443,0,2025-01-22,8.35,344.4
2025,35.97189,43.76675,2,2025-09-08,3.1,313.9
2025,7.57671,-65.53899,0,2025-01-14,1.91,335.45
2025,-5.88372,15.19169,0,2025-07-31,13.99,340.88
2025,-14.35114,26.75469,0,2025-08-28,16.85,348.2
2025,13.88065,-11.64248,0,2025-01-27,4.49,367
2025,9.79822,18.66510,0,2025-01-22,11.82,353.72
2025,-14.28615,24.91736,0,2025-07-10,1.99,327.79
2025,52.21996,82.72756,0,2025-04-30,7.67,345.02
2025,-12.18012,18.63314,0,2025-09-12,1.18,299.6
2025,44.65958,125.62808,0,2025-10-28,7.09,334.89
2025,-15.99244,144.48827,0,2025-10-07,24.23,353.85
2025,32.04202,72.87938,0,2025-03-29,2.03,337.29
2025,5.84110,5.76917,0,2025-01-30,4.06,333.54
2025,20.64993,96.43257,0,2025-02-26,0.76,304.76
2025,9.65430,10.64465,0,2025-02-15,0.94,332.49
2025,-15.60854,28.66072,0,2025-08-26,5.26,344.53
2025,-12.96327,27.89653,0,2025-07-08,6.53,352.78
2025,43.21746,-1.20919,0,2025-02-20,9.74,339.02
2025,12.99932,36.38258,0,2025-01-03,3.78,343.6
2025,15.03230,-86.10857,0,2025-04-28,5.24,348.57
2025,29.10675,9.66469,2,2025-09-13,2.16,314.24
2025,6.72401,25.37975,0,2025-01-13,0.45,299.04
2025,-15.25178,126.12391,0,2025-09-26,12.21,346.29
2025,-13.73301,133.44905,0,2025-06-09,8.99,344.03
2025,11.65410,13.50139,0,2025-04-05,6.03,336.97
2025,-1.36006,31.69773,0,2025-02-27,17.38,356.52
2025,27.12614,118.52972,0,2025-09-12,3.44,328.64
2025,-13.86486,18.64755,0,2025-06-20,3.57,332.8
2025,14.31981,26.16015,0,2025-09-30,8.34,345.4
2025,-7.26931,29.09854,0,2025-06-30,9.9,344.49
2025,3.50066,-51.46877,0,2025-10-28,4.41,338.62
2025,43.00362,-4.84396,0,2025-08-15,67.81,367
2025,-22.72581,122.75172,0,2025-10-20,5.42,337.28
2025,-17.22918,-64.60077,0,2025-09-03,1.94,333.03
2025,32.35921,47.70106,2,2025-06-15,21.61,312.52
2025,-14.32930,-58.64629,0,2025-05-08,7.94,333.94
2025,-10.27507,18.30615,0,2025-08-16,1.6,331.27
2025,6.38500,10.21446,0,2025-03-01,1.96,331.29
2025,7.03271,28.90435,0,2025-02-23,13.77,348.94
