year,latitude,longitude,type,acq_date,frp,brightness
2017,64.63593,121.90313,0,2017-08-06,1.17,302.03
2017,10.58120,3.63433,0,2017-01-29,1.41,332.98
2017,11.08141,-8.28516,0,2017-02-09,0.96,306.74
2017,-14.24892,126.70916,0,2017-08-31,1.73,314.7
2017,52.81551,-124.16169,0,2017-08-28,4.99,329.19
2017,41.34990,108.96136,0,2017-04-27,1.19,330.47
2017,-15.95976,126.15051,0,2017-05-16,7.87,335.46
2017,37.67590,104.98985,2,2017-08-12,2.09,302.07
2017,60.90591,-109.91727,0,2017-08-14,5.3,340.92
2017,-16.43305,47.99335,0,2017-09-30,24.7,344.9
2017,-11.15979,38.25650,0,2017-08-28,4.19,343.27
2017,-9.19109,21.96185,0,2017-07-14,54.01,349.66
2017,-7.04530,27.31111,0,2017-06-22,13.53,346.07
2017,-19.84027,-57.48920,0,2017-07-07,11.26,355.76
2017,-29.71519,24.35772,0,2017-06-24,79.14,351.05
2017,-30.80241,116.08782,0,2017-04-29,6.11,347.62
2017,7.18866,23.60744,0,2017-01-10,3.16,333.72
2017,52.52517,-123.15748,0,2017-07-15,47.38,356.93
2017,52.84191,37.13918,0,2017-08-17,2.82,335.02
2017,25.67138,50.08873,0,2017-09-03,9.28,367
2017,1.75314,-55.81924,0,2017-10-16,7.87,341.79
2017,30.27434,47.36179,2,2017-04-01,2.7,318.84
2017,17.54812,104.71268,0,2017-02-16,5.09,343.71
2017,-15.15222,35.27177,0,2017-08-03,1,297.44
2017,45.78091,130.05498,0,2017-11-01,2.12,330.23
2017,10.22626,35.57696,0,2017-11-27,8.27,352.6
2017,6.57765,21.18966,0,2017-12-21,11.95,348.39
2017,41.84382,123.75680,2,2017-06-02,5.53,343.3
2017,-5.73854,-50.11272,0,2017-09-17,18.57,350.72
2017,65.59100,-134.52438,0,2017-06-22,7.34,343.37
2017,28.90957,19.76501,2,2017-06-15,5.01,319.41
2017,-7.42399,17.89070,0,2017-05-30,6.33,337.62
2017,4.31926,11.18360,0,2017-12-13,2.47,330.94
2017,52.08047,76.85165,2,2017-07-17,1.02,302.16
2017,2.64270,29.89342,0,2017-02-12,13.8,355.64
2017,39.85245,127.20602,0,2017-04-12,73.48,332.58
2017,10.01280,-12.66818,0,2017-11-10,2.77,330.8
2017,45.46033,124.79456,0,2017-04-21,6.4,336.84
2017,8.65902,-66.24587,0,2017-11-28,8.4,334.03
2017,-13.91040,35.34079,0,2017-10-17,11.52,367
2017,-6.69035,27.39013,0,2017-06-05,2.19,320.09
2017,-31.07802,123.86898,0,2017-11-28,40.52,367
2017,-9.77622,21.86063,0,2017-09-07,9.06,338
2017,-15.99879,27.98562,0,2017-10-01,10.49,340.47
2017,19.61403,81.09183,0,2017-04-09,10.51,367
2017,-10.16707,22.93397,0,2017-07-29,2.82,339.08
2017,9.99236,28.42602,0,2017-10-24,2.8,331.34
2017,-9.53102,-49.96640,0,2017-09-23,19.42,343.51
2017,-23.74645,132.40833,0,2017-11-02,1.18,302.38
2017,37.03254,118.32901,0,2017-06-28,1.48,312.24
2017,-23.56619,121.73409,0,2017-11-30,4.84,341.61
2017,8.23153,27.58006,0,2017-10-25,2.82,331.58
2017,67.57153,-134.30602,0,2017-08-01,73.36,354.07
2017,-17.59439,36.17599,0,2017-10-16,20.89,356.31
2017,-2.81300,-42.34899,0,2017-07-20,2.54,331.71
2017,50.12764,69.04272,0,2017-07-04,8.36,367
