year,latitude,longitude,type,acq_date,frp,brightness
2022,5.02888,31.09059,0,2022-05-05,14.02,344.94
2022,-33.43020,148.72237,0,2022-04-23,6.11,367
2022,12.44382,-11.35458,0,2022-02-18,3.18,335.95
2022,8.09695,20.17845,0,2022-02-11,6.56,353.57
2022,-4.14071,143.78821,0,2022-09-15,14.87,341.02
2022,8.77824,21.78924,0,2022-12-11,7.86,347.78
2022,-16.67420,-61.05873,0,2022-09-20,14.73,367
2022,44.59456,86.05724,2,2022-03-31,0.98,297.95
2022,-7.60359,-55.07310,0,2022-08-18,1.07,307.19
2022,-11.77407,-44.91279,0,2022-08-20,0.71,308.17
2022,13.77873,13.03906,0,2022-10-17,5.91,336.66
2022,-10.50195,-57.77113,0,2022-09-14,6.7,336.86
2022,-20.31622,44.77690,0,2022-08-28,4.04,334.49
2022,-15.77692,16.82498,0,2022-10-11,10.24,345.83
2022,-14.15852,-63.73553,0,2022-09-14,2.35,317.53
2022,18.15053,102.91271,0,2022-12-19,7.24,345.02
2022,-14.67942,36.31961,0,2022-08-28,10.02,338.74
2022,-18.22605,-59.74536,0,2022-11-08,1.91,325.52
2022,14.23155,-0.76204,0,2022-11-12,4.62,338.07
2022,7.62849,24.41311,0,2022-01-24,3.22,341.1
2022,6.43202,34.43605,0,2022-03-07,10.58,339.33
2022,-5.18789,24.76420,0,2022-06-07,9.23,348.46
2022,-13.44427,-45.08931,0,2022-07-05,34.26,343.85
2022,45.42301,-114.88686,0,2022-09-05,1.99,320.97
2022,-19.16862,-63.71581,0,2022-11-25,56.95,342.72
2022,-15.19178,40.06742,0,2022-10-08,23.17,353.71
2022,7.03072,12.64209,0,2022-11-19,6.35,340.95
2022,-1.31977,-79.71256,0,2022-12-05,6.28,330.44
2022,-26.00511,-57.55548,0,2022-01-24,2.7,313.56
2022,66.28557,78.74577,2,2022-01-17,4.01,320.93
2022,24.31546,108.55104,0,2022-04-07,2.14,330.39
2022,-10.44199,-44.31018,0,2022-09-01,6.11,347.95
2022,6.76671,17.59861,0,2022-02-15,4.87,350.9
2022,-8.82537,17.04725,0,2022-07-08,56.07,339.1
2022,-16.61073,126.14665,0,2022-09-22,21.26,367
2022,11.57469,35.97454,0,2022-02-22,6.46,345.54
2022,-8.56531,-44.08068,0,2022-09-22,4.2,340.4
2022,4.19709,19.37548,0,2022-12-22,72.52,332.07
2022,5.83866,-75.52730,0,2022-01-31,8.13,346.4
2022,44.62271,25.70397,0,2022-03-22,4.47,343.68
2022,-11.24989,14.82106,0,2022-09-10,10.18,341.87
2022,4.11924,27.92414,0,2022-03-27,3.44,341.88
2022,-17.54856,21.75849,0,2022-09-05,2.26,334.48
2022,-29.55602,-66.78014,0,2022-07-12,2.69,331.41
2022,8.18163,20.29058,0,2022-01-20,3.75,337.86
2022,7.92864,18.12707,0,2022-01-12,8.95,342.87
2022,-13.52699,35.10456,0,2022-10-04,16.01,335.49
2022,7.85705,28.58284,0,2022-12-02,3.08,333.71
2022,10.51668,5.16803,0,2022-01-10,1.95,338.95
2022,7.77381,25.29211,0,2022-12-29,4.65,341.72
2022,15.20862,101.04893,0,2022-11-04,6.67,348.52
2022,40.65437,109.75403,3,2022-05-05,0.72,295.59
2022,-13.23562,134.72208,0,2022-05-03,4.47,333.78
2022,-9.56669,29.71954,0,2022-09-07,31.36,367
2022,8.08900,29.48187,0,2022-11-16,5.74,333.55
2022,-27.62808,-62.63729,0,2022-09-07,16.58,336.73
2022,-8.36445,23.20329,0,2022-05-24,3.71,336.55
2022,-17.20428,126.86095,0,2022-04-09,29.35,367
2022,57.22485,-109.48515,0,2022-07-02,41.84,367
2022,31.55446,75.12062,0,2022-10-11,1.58,330.21
2022,31.35562,45.96586,2,2022-12-23,1.79,312.28
2022,-12.00360,27.09448,0,2022-09-18,5.85,343.24
2022,8.40970,5.12900,0,2022-01-25,1.49,311.51
2022,-0.01926,31.85933,0,2022-07-23,9,341.66
2022,16.03114,95.68839,0,2022-01-17,1.97,330.22
2022,-2.91273,-40.48942,0,2022-12-29,6.67,336.85
2022,9.54585,2.63955,0,2022-01-26,3.05,336.79
2022,31.09134,47.78901,2,2022-09-23,5.37,345.04
2022,-8.42314,-50.85926,0,2022-09-20,9.62,348.4
2022,-11.47849,36.24675,0,2022-10-13,8.63,354.12
2022,-8.10125,29.53851,0,2022-06-21,2.24,331.29
2022,8.33173,20.00123,0,2022-01-08,0.97,304.33
2022,-9.42274,27.10649,0,2022-09-10,7.46,342.14
2022,6.69380,-5.32196,0,2022-01-28,3.02,333.51
